StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
081090,290000,15,738520,2.04,2.65,1.99,2.65,0.69,2021-03-22
081091,319000,21,506330,1.53,1.7,1.48,1.7,0.15,2021-03-22
081092,74000,5,50700,0.7,0.7,0.66,0.66,-0.06,2021-03-22
081093,172000,25,195390,1.18,1.2,1.07,1.07,-0.13,2021-03-22
081094,197000,10,79780,0.39,0.43,0.39,0.42,0.0,2021-03-22
081095,58000,5,46560,0.81,0.81,0.77,0.77,-0.02,2021-03-22
081096,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081097,4000,2,7510,1.87,1.9,1.87,1.9,0.07,2021-03-22
081098,16000,2,25920,1.62,1.62,1.62,1.62,0.0,2021-03-22
081099,527000,26,657900,1.21,1.32,1.21,1.32,0.07,2021-03-22
081100,82000,7,149360,1.79,1.88,1.79,1.88,0.25,2021-03-22
081101,2000,1,3180,1.59,1.59,1.59,1.59,-0.23,2021-03-22
081102,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081103,18000,3,28970,1.6,1.62,1.6,1.61,-0.04,2021-03-22
081104,1000,1,5950,5.95,5.95,5.95,5.95,0.0,2021-03-22
081105,10000,1,20300,2.03,2.03,2.03,2.03,0.19,2021-03-22
081106,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081107,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081108,211000,9,273290,1.29,1.31,1.29,1.29,-0.12,2021-03-22
081109,10000,1,7600,0.76,0.76,0.76,0.76,-0.11,2021-03-22
081110,2000,1,2600,1.3,1.3,1.3,1.3,-0.17,2021-03-22
081111,100000,4,140350,1.42,1.42,1.37,1.39,-0.04,2021-03-22
081112,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081113,15000,1,22050,1.47,1.47,1.47,1.47,0.0,2021-03-22
081114,203000,20,917080,3.61,4.71,3.61,4.71,1.08,2021-03-22
081115,1000,1,1800,1.8,1.8,1.8,1.8,0.31,2021-03-22
081116,714000,27,2041050,3.55,3.55,2.82,2.95,0.84,2021-03-22
081117,74000,9,291630,3.74,4.02,3.74,4.02,0.28,2021-03-22
081118,467000,24,340960,0.65,0.78,0.6,0.78,0.19,2021-03-22
081119,132000,8,63280,0.47,0.49,0.44,0.49,0.16,2021-03-22
081120,10000,4,13000,1.3,1.3,1.3,1.3,-0.12,2021-03-22
081121,188000,1,430520,2.29,2.29,2.29,2.29,0.0,2021-03-22
081122,13000,2,9880,0.76,0.76,0.76,0.76,0.0,2021-03-22
081123,79000,9,69080,0.86,0.9,0.85,0.9,0.05,2021-03-22
081124,6000,1,25140,4.19,4.19,4.19,4.19,-0.16,2021-03-22
081125,7000,1,7420,1.06,1.06,1.06,1.06,0.0,2021-03-22
081126,24000,4,21560,0.9,0.9,0.87,0.87,-0.03,2021-03-22
081127,27000,4,52100,1.91,2.0,1.9,2.0,0.06,2021-03-22
081128,31000,3,55250,1.74,1.88,1.74,1.87,0.26,2021-03-22
081129,7000,1,13370,1.91,1.91,1.91,1.91,0.0,2021-03-22
081130,54000,12,730100,13.3,14.1,12.5,13.1,0.2,2021-03-22
081131,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081132,52000,5,78500,1.4,1.54,1.4,1.49,0.03,2021-03-22
081133,288000,8,316300,1.08,1.35,1.08,1.35,0.37,2021-03-22
081134,273000,28,395090,1.6,1.6,1.38,1.4,-0.25,2021-03-22
081135,80000,2,37600,0.46,0.48,0.46,0.48,0.0,2021-03-22
081136,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081137,141000,6,178700,1.24,1.28,1.23,1.23,0.04,2021-03-22
081138,148000,20,263020,1.63,1.9,1.62,1.9,0.25,2021-03-22
081139,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081140,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081141,20000,1,18600,0.93,0.93,0.93,0.93,0.0,2021-03-22
081142,5000,1,4500,0.9,0.9,0.9,0.9,0.06,2021-03-22
081143,39000,3,138010,3.54,3.59,3.53,3.53,-0.05,2021-03-22
081144,97000,9,74000,0.75,0.82,0.74,0.82,0.03,2021-03-22
081145,100000,1,22000,0.22,0.22,0.22,0.22,-0.03,2021-03-22
081146,15000,2,12050,0.8,0.81,0.8,0.81,0.0,2021-03-22
081147,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081148,367000,35,369960,1.01,1.1,0.96,1.03,0.3,2021-03-22
081149,186000,18,634490,3.41,3.51,3.37,3.51,0.17,2021-03-22
081150,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081151,74000,6,171270,2.33,2.33,2.27,2.32,-0.07,2021-03-22
081152,20000,1,61200,3.06,3.06,3.06,3.06,0.01,2021-03-22
081153,70000,7,91000,1.3,1.3,1.3,1.3,0.0,2021-03-22
081154,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081155,60000,11,129840,2.19,2.19,2.13,2.17,0.12,2021-03-22
081156,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081157,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081158,61000,4,98410,1.64,1.64,1.59,1.59,0.04,2021-03-22
081159,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081160,5000,1,6250,1.25,1.25,1.25,1.25,0.0,2021-03-22
081161,15000,2,67300,4.44,4.51,4.44,4.51,0.12,2021-03-22
081162,10000,1,50500,5.05,5.05,5.05,5.05,-0.1,2021-03-22
081163,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
081164,154000,5,266840,1.74,1.75,1.68,1.68,-0.06,2021-03-22
081165,356000,36,1323070,3.83,3.85,3.32,3.32,-0.58,2021-03-22
